index,Unnamed: 0,ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE,sebastian_present,catherine_present,baptist_present,jerome_present,francis_present,magdalene_present,mark_present,lucy_present,evangelist_present
61,5853.0,Master E.S.,The Martyrdom of Saint Sebastian,https://www.artic.edu/artworks/19503/the-martyrdom-of-saint-sebastian,"https://www.artic.edu/iiif/2/794de40f-ceb9-8ac1-a504-76415c5e0e06/full/600,/0/default.jpg",chicago_art_gallery_794de40f-ceb9-8ac1-a504-76415c5e0e06.jpg,Lehrs II.224.155 , 1450–1460,Engraving on paper,True,False,False,False,False,False,False,False,False
54,2090.0,"GOES, Hugo van der",Sts Margaret and Mary Magdalene with Maria Portinari (detail),https://www.wga.hu/html/g/goes/portinar/right4.html,https://www.wga.hu/detail/g/goes/portinar/right4.jpg,web_gallery_ggoesportinarright4.jpg,,1451-1500,Oil on wood,False,False,False,False,False,True,False,False,False
69,,"s •window: II, line: 10, lane: c",St. Catherine intercedes before the Emperor against idolatry (detail),https://corpusvitrearum.de/cvma-digital/bildarchiv.html?tx_cvma_archive%5B%40widget_0%5D%5BcurrentPage%5D=9&tx_cvma_archive%5Bimage%5D=5773&tx_cvma_archive%5Baction%5D=show&tx_cvma_archive%5Bcontroller%5D=Gallery&cHash=14fa644404ceab134893a3bd14a02a24#content,https://corpusvitrearum.de/typo3temp/cvma/_processed_/pics/medium/5773.jpg,corpus_5773.jpg,"Mary intercedes (with Christ), Mary Mediatrix (sometimes shows her breasts) (+ God the Father) breast, bosom, Christ, intercedes, Mary Mediatrix, shows",1460/70,Transmitted light front single shot,False,True,False,False,False,False,False,False,False
80,3309.0,"MAZZOLA BEDOLI, Girolamo",Marriage of St Catherine,https://www.wga.hu/html/m/mazzola/mar_cath.html,https://www.wga.hu/detail/m/mazzola/mar_cath.jpg,web_gallery_mmazzolamar_cath.jpg,"Girolamo Bedoli was an Italian painter who received his initial training in the Mazzola studio, with Parmigianino (Girolamo Francesco Mazzola), whose employee he later became and whose surname he adopted in 1538. He received formative influence from Parmigianino and from the contact with Correggio's oeuvre. In Mantua he adopted Mannerist ideas through Giulio Romano.",1501-1550,Oil on canvas,False,True,False,False,False,False,False,False,False
41,4724.0,TINTORETTO,The Miracle of St Mark Freeing the Slave,https://www.wga.hu/html/t/tintoret/3a/1mark.html,https://www.wga.hu/detail/t/tintoret/3a/1mark.jpg,web_gallery_ttintoret3a1mark.jpg,"The painting is the first of a series of works, painted in 1548 for the Scuola Grande di San Marco while Marco Episcopi, his future father-in-law was Grand Guardian of the School.",1551-1600,"Oil on canvas, 415 x 541 cm",False,False,False,False,False,False,True,False,False
75,5820.0,Nicolò Boldrini,Saint Jerome in the Wilderness,https://www.artic.edu/artworks/23550/saint-jerome-in-the-wilderness,"https://www.artic.edu/iiif/2/08853a63-915f-9700-bb48-afa06a18d95a/full/600,/0/default.jpg",chicago_art_gallery_08853a63-915f-9700-bb48-afa06a18d95a.jpg,"After having a vision in which he was judged before God for his failure to convert to Christianity, Saint Jerome retreated to the Syrian desert to seek penance. Niccolò Boldrini’s large-scale woodcut shows a minute Jerome living in peace with a pride of lions, who are grateful to him for removing a thorn from one of their paws. Boldrini worked closely with Titian, to whom this print has sometimes been credited. Titian controlled the details of the composition; however, Boldrini cut and printed the woodblock.", 1525–1530,Woodcut in black on paper,False,False,False,True,False,False,False,False,False
140,5725.0,"Alberti, Cherubino, Style of",Standing Putto (recto); Saint Jude the Evangelist (verso),https://www.artic.edu/artworks/112591/standing-putto-recto-saint-jude-the-evangelist-verso,"https://www.artic.edu/iiif/2/6e7c6e62-085a-0a67-8869-a83ffe9b5ac6/full/600,/0/default.jpg",chicago_art_gallery_6e7c6e62-085a-0a67-8869-a83ffe9b5ac6.jpg,"Object information is a work in progress and may be updated as new research findings emerge. To help improve this record, please email . Information about image downloads and licensing is available here.", 1610–1620,"Pen and brown ink with brush and brown wash, heightened with lead white (discolored) and touches of orange gouache (recto), and black chalk with touches of white chalk (verso), on blue laid paper",False,False,False,False,False,False,False,False,True
145,2991.0,"MANTEGNA, Andrea",St Sebastian,https://www.wga.hu/html/m/mantegna/11/5sebast2.html,https://www.wga.hu/detail/m/mantegna/11/5sebast2.jpg,web_gallery_mmantegna115sebast2.jpg,The picture shows Mantegna's painting as exhibited in the Galleria Franchetti in the Ca' d'Oro. It is placed in a sixteenth-century marble aedicule.,1451-1500,"Oil on canvas, 213 x 95 cm",True,False,False,False,False,False,False,False,False
4,5370.0,Lorenzo Monaco,Processional Cross with Saint Mary Magdalene and a Blessed Hermit,https://www.artic.edu/artworks/16231/processional-cross-with-saint-mary-magdalene-and-a-blessed-hermit,"https://www.artic.edu/iiif/2/7bc86f37-02d8-10fb-ec06-7e2ce69d9238/full/600,/0/default.jpg",chicago_art_gallery_7bc86f37-02d8-10fb-ec06-7e2ce69d9238.jpg,"Representative of the early work of Lorenzo Monaco, a Camaldolese monk and leading Florentine painter of the end of the fourteenth century and the beginning of the fifteenth century, the delicate colors and simplified forms of this Crucifixion are exceptionally well preserved. The medallion above the crucified Christ contains an image of Christ in Glory, holding a palm in each hand to symbolize his victory over death. Below, the crowned figure of King David holds an inscribed scroll. More often in Crucifixion scenes of this period, a pelican appears at the top of the cross and the skull of Adam lies at the foot. A penitential theme is suggested by the figures kneeling under the Cross: on the right is a haloed Magdalen in a red robe; on the left, a man with the incised rays of a beatus, or blessed one, emanating from his head wears the torn brown cloak of a hermit. He was probably meant to represent a specific hermit within the Camaldolese order. The panel has a hole drilled at the base, allowing it to be mounted on a pole and used as a processional cross, likely in the monastic Camaldolese community of Santa Maria degli Angeli, where Lorenzo lived and worked.", 1392–1395,Tempera on panel,False,False,False,False,False,True,False,False,False
11,4837.0,TOMMASO DI CREDI,Virgin and Child with the Infant St John the Baptist,https://www.wga.hu/html/t/tommaso1/virginc.html,https://www.wga.hu/detail/t/tommaso1/virginc.jpg,web_gallery_ttommaso1virginc.jpg,"This Renaissance tondo is a characteristic work by the artist known as Tommaso, a close follower of Lorenzo di Credi.",1451-1500,"Oil on panel, tondo, diameter 61 cm",False,False,True,False,False,False,False,False,False
72,,Rosenwald Collection,The Elevation of Saint Mary Magdalene,https://www.nga.gov/collection/art-object-page.6716.html,"https://media.nga.gov/iiif/15abca10-f64f-4b1f-90ab-6e05512fa579/full/!588,600/0/default.jpg",nga_15abca10-f64f-4b1f-90ab-6e05512fa579.jpg,,1504.0,woodcut,False,False,False,False,False,True,False,False,False
76,2367.0,GUERCINO,The Penitent Magdalene,https://www.wga.hu/html/g/guercino/2/magdale.html,https://www.wga.hu/detail/g/guercino/2/magdale.jpg,web_gallery_gguercino2magdale.jpg,"The artist depicts the Magdalene's hair with remarkably fine strokes, highlighting the thick, waving tresses at her head and shoulders, down to the individual hairs that uncoil across her abdomen.",1601-1650,"Oil on canvas, 114 x 92 cm",False,False,False,False,False,True,False,False,False
12,,Gift of Jacob Kainen,Saint Mark Writing His Gospels,https://www.nga.gov/collection/art-object-page.120693.html,"https://media.nga.gov/iiif/3ef075b0-4e6e-4da3-bdea-c2146560b907/full/!588,600/0/default.jpg",nga_3ef075b0-4e6e-4da3-bdea-c2146560b907.jpg,,1498.0,engraving on laid paper,False,False,False,False,False,False,True,False,False
110,5400.0,"Spagna, Lo",Saint Catherine of Siena,https://www.artic.edu/artworks/25778/saint-catherine-of-siena,"https://www.artic.edu/iiif/2/0457fe58-3a6e-155e-5185-e121db1e0bfd/full/600,/0/default.jpg",chicago_art_gallery_0457fe58-3a6e-155e-5185-e121db1e0bfd.jpg,"A gifted follower of Perugino, Lo Spagna expanded on the master’s calm style in numerous works made for Perugia and the surrounding region of Umbria. This panel represents Catherine Benincasa of Siena (1347–1380), who was one of the major religious figures and most influential women of the late Middle Ages. Affiliated with the Dominican order, she was renowned for her devotion to the poor and sick, as well as for her mystical visions. In one such vision, she saw herself marked with Christ’s wounds from his crucifixion, known as the stigmata. These marks are faintly visible on the backs of her hands in the present work and serve to identify her.", 1510–1515,Tempera and oil on panel,False,True,False,False,False,False,False,False,False
79,5155.0,"VERONESE, Paolo",Martyrdom of St Sebastian (detail),https://www.wga.hu/html/v/veronese/02a/1choir/3martyr4.html,https://www.wga.hu/detail/v/veronese/02a/1choir/3martyr4.jpg,web_gallery_vveronese02a1choir3martyr4.jpg,,1551-1600,Oil on canvas,True,False,False,False,False,False,False,False,False
18,235.0,ANTONIO DA FIRENZE,Crucifixion with Mary and St John the Evangelist,https://www.wga.hu/html/a/antonio/firenze/crucifix.html,https://www.wga.hu/detail/a/antonio/firenze/crucifix.jpg,web_gallery_aantoniofirenzecrucifix.jpg,One side of a panel painted on both sides. The other side represents the Madonna and Child with Saints.,1401-1450,"Tempera on wood, 151 x 85 cm",False,False,False,False,False,False,False,False,True
